id,date,symbol,open,high,low,close,volume
1828,2025-08-24,BTC,115431.50000000,115663.30000000,114792.90000000,114871.40000000,35330
1829,2025-08-23,BTC,116928.90000000,117024.30000000,114576.50000000,115433.30000000,39630
1830,2025-08-22,BTC,112492.90000000,117416.90000000,111698.50000000,116928.90000000,72830
1831,2025-08-21,BTC,114275.00000000,114776.30000000,112023.00000000,112481.10000000,43000
1832,2025-08-20,BTC,112878.10000000,114616.70000000,112409.40000000,114275.00000000,54630
1833,2025-08-19,BTC,116218.90000000,116729.20000000,112750.90000000,112880.30000000,62150
1834,2025-08-18,BTC,117417.90000000,117552.70000000,114653.80000000,116203.80000000,58820
1835,2025-08-17,BTC,117393.80000000,118559.40000000,117192.40000000,117405.40000000,21870
1836,2025-08-16,BTC,117356.30000000,117914.90000000,117195.60000000,117413.40000000,25180
1837,2025-08-15,BTC,118314.10000000,119231.90000000,116816.80000000,117356.30000000,45230
1838,2025-08-14,BTC,123313.60000000,124436.80000000,117275.10000000,118314.20000000,86590
1839,2025-08-13,BTC,120138.40000000,123651.80000000,118959.90000000,123323.40000000,76090
1840,2025-07-31,BTC,117840.40000000,118920.70000000,115510.00000000,115765.00000000,56430
1841,2025-07-30,BTC,117949.80000000,118693.50000000,115830.70000000,117840.40000000,48170
1842,2025-07-29,BTC,118054.80000000,119261.00000000,117002.70000000,117950.10000000,51880
1843,2025-07-28,BTC,119402.70000000,119788.20000000,117426.50000000,118053.90000000,61810
1844,2025-07-27,BTC,117918.30000000,119771.10000000,117840.40000000,119398.10000000,34870
1845,2025-07-26,BTC,117632.20000000,118298.10000000,117150.50000000,117917.60000000,31060
1846,2025-07-25,BTC,118311.50000000,118449.80000000,114843.50000000,117631.90000000,131510
1847,2025-07-24,BTC,118760.70000000,119459.70000000,117141.70000000,118310.90000000,55000
1848,2025-07-23,BTC,119965.50000000,120089.50000000,117345.20000000,118763.00000000,50190
1849,2025-07-22,BTC,117388.20000000,120253.10000000,116199.10000000,119965.50000000,70230
1850,2025-07-21,BTC,117297.20000000,119634.00000000,116540.90000000,117388.10000000,54780
1851,2025-07-20,BTC,117848.40000000,118860.00000000,116515.20000000,117297.20000000,40070
1852,2025-07-19,BTC,117942.30000000,118508.20000000,117308.60000000,117848.40000000,23560
1853,2025-07-18,BTC,119196.40000000,120801.20000000,116839.20000000,117940.30000000,66900
1854,2025-07-17,BTC,118680.60000000,120944.50000000,117489.70000000,119194.90000000,55750
1855,2025-07-16,BTC,117762.40000000,120028.00000000,117030.50000000,118683.20000000,60710
1856,2025-07-15,BTC,119846.70000000,119944.00000000,115774.00000000,117762.30000000,113790
1857,2025-07-14,BTC,119092.20000000,123104.70000000,118913.70000000,119849.50000000,89940
1858,2025-07-13,BTC,117422.40000000,119441.60000000,117247.70000000,119090.60000000,33240
1859,2025-06-30,BTC,108362.30000000,108777.00000000,106743.10000000,107171.10000000,37460
1860,2025-06-29,BTC,107304.30000000,108470.50000000,107188.40000000,108361.10000000,25960
1861,2025-06-28,BTC,107048.20000000,107542.30000000,106822.00000000,107304.40000000,14260
1862,2025-06-27,BTC,106948.00000000,107726.50000000,106414.10000000,107044.20000000,46240
1863,2025-06-26,BTC,107350.60000000,108261.20000000,106650.00000000,106945.90000000,38700
1864,2025-06-25,BTC,106086.00000000,108128.00000000,105828.20000000,107349.40000000,58140
1865,2025-06-24,BTC,105376.90000000,106268.70000000,104642.90000000,106078.60000000,52810
1866,2025-06-23,BTC,100782.50000000,106032.70000000,99696.90000000,105376.90000000,83160
1867,2025-06-22,BTC,102114.50000000,103300.40000000,98249.20000000,100990.40000000,81370
1868,2025-06-21,BTC,103287.20000000,103989.30000000,100947.80000000,102113.20000000,37520
1869,2025-06-20,BTC,104669.60000000,106520.30000000,102396.80000000,103280.50000000,51480
1870,2025-06-19,BTC,104894.20000000,105220.50000000,103934.50000000,104669.60000000,28470
1871,2025-06-18,BTC,104571.40000000,105553.00000000,103622.40000000,104894.20000000,45600
1872,2025-06-17,BTC,106769.80000000,107747.40000000,103386.30000000,104559.80000000,60730
1873,2025-06-16,BTC,105594.00000000,108899.30000000,104993.80000000,106740.40000000,50950
1874,2025-06-15,BTC,105421.60000000,106098.90000000,104502.00000000,105591.80000000,26220
1875,2025-06-14,BTC,106028.50000000,106196.90000000,104321.00000000,105421.50000000,30990
1876,2025-06-13,BTC,105702.70000000,106147.00000000,102739.60000000,106080.30000000,73840
1877,2025-05-31,BTC,103981.90000000,104888.40000000,103091.30000000,104598.00000000,35800
1878,2025-05-30,BTC,105598.80000000,106314.90000000,103693.90000000,103981.30000000,71980
1879,2025-05-29,BTC,107759.10000000,108896.70000000,105399.90000000,105600.00000000,70020
1880,2025-05-28,BTC,108905.70000000,109238.30000000,106804.90000000,107786.70000000,51840
1881,2025-05-27,BTC,109455.30000000,110718.70000000,107572.20000000,108944.00000000,65020
1882,2025-05-26,BTC,109014.90000000,110401.40000000,108694.00000000,109455.30000000,48010
1883,2025-05-25,BTC,107763.00000000,109203.40000000,106648.30000000,109021.10000000,52490
1884,2025-05-24,BTC,107313.50000000,109476.40000000,106904.50000000,107763.00000000,52260
1885,2025-05-23,BTC,111702.60000000,111778.70000000,106855.40000000,107313.40000000,87570
1886,2025-05-22,BTC,109632.60000000,111953.60000000,109281.80000000,111702.70000000,96350
1887,2025-05-21,BTC,106814.70000000,110628.80000000,106109.50000000,109640.10000000,124170
1888,2025-05-20,BTC,105586.10000000,107270.50000000,104199.30000000,106815.80000000,76080
1889,2025-05-19,BTC,106507.70000000,107081.30000000,102088.20000000,105585.80000000,90490
