name,date,market_cap
Bitcoin,"2025-08-17 18:31:00",2346100981760.000
Ethereum,"2025-08-17 18:32:00",545054949376.000
XRP,"2025-08-17 18:32:00",184517443584.000
"Tether USDt","2025-08-17 18:31:00",166749241344.000
BNB,"2025-08-17 18:32:00",119184277504.000
Solana,"2025-08-17 18:31:00",104104697856.000
USDC,"2025-08-17 18:30:00",68181131264.000
Dogecoin,"2025-08-17 18:32:00",35406811136.000
Cardano,"2025-08-17 18:32:00",34155513856.000
TRON,"2025-08-17 18:32:00",33488826368.000
Chainlink,"2025-08-17 18:32:00",17509163008.000
Hyperliquid,"2025-08-17 18:32:00",15568448512.000
Sui,"2025-08-17 18:32:00",13468064768.000
Stellar,"2025-08-17 18:32:00",13408585728.000
"Bitcoin Cash","2025-08-17 18:32:00",11639601152.000
"Ethena USDe","2025-08-17 18:32:00",11319202816.000
Avalanche,"2025-08-17 18:31:00",10794184704.000
Hedera,"2025-08-17 18:32:00",10772740096.000
Litecoin,"2025-08-17 18:31:00",9277251584.000
Toncoin,"2025-08-17 18:32:00",8989178880.000
Bitcoin,"2025-08-18 16:02:00",2314873339904.000
Ethereum,"2025-08-18 16:02:00",524609585152.000
XRP,"2025-08-18 16:02:00",179273809920.000
"Tether USDt","2025-08-18 16:01:00",166820610048.000
BNB,"2025-08-18 16:02:00",117281325056.000
Solana,"2025-08-18 16:01:00",98908323840.000
USDC,"2025-08-18 16:00:00",68169121792.000
Dogecoin,"2025-08-18 16:02:00",33668864000.000
TRON,"2025-08-18 16:02:00",33117536256.000
Cardano,"2025-08-18 16:02:00",32748855296.000
Chainlink,"2025-08-18 16:02:00",17217759232.000
Hyperliquid,"2025-08-18 16:02:00",14760285184.000
Stellar,"2025-08-18 16:02:00",12858326016.000
Sui,"2025-08-18 16:02:00",12699820032.000
"Ethena USDe","2025-08-18 16:02:00",11374848000.000
"Bitcoin Cash","2025-08-18 16:02:00",11270503424.000
Hedera,"2025-08-18 16:02:00",10396742656.000
Avalanche,"2025-08-18 16:01:00",10042529792.000
Litecoin,"2025-08-18 16:02:00",9003631616.000
"UNUS SED LEO","2025-08-18 16:02:00",8750502912.000
Bitcoin,"2025-08-19 18:08:00",2258782126080.000
Ethereum,"2025-08-19 18:09:00",504777146368.000
XRP,"2025-08-19 18:09:00",174046396416.000
"Tether USDt","2025-08-19 18:08:00",167028703232.000
BNB,"2025-08-19 18:09:00",115984023552.000
Solana,"2025-08-19 18:09:00",96127098880.000
USDC,"2025-08-19 18:09:00",68143894528.000
TRON,"2025-08-19 18:09:00",33084463104.000
Dogecoin,"2025-08-19 18:09:00",32156690432.000
Cardano,"2025-08-19 18:08:00",30747572224.000
Chainlink,"2025-08-19 18:09:00",16320461824.000
Hyperliquid,"2025-08-19 18:08:00",14344137728.000
Stellar,"2025-08-19 18:09:00",12479505408.000
Sui,"2025-08-19 18:09:00",12252127232.000
"Ethena USDe","2025-08-19 18:09:00",11527108608.000
"Bitcoin Cash","2025-08-19 18:09:00",11046343680.000
Hedera,"2025-08-19 18:09:00",9988992000.000
Avalanche,"2025-08-19 18:09:00",9598159872.000
"UNUS SED LEO","2025-08-19 18:08:00",8872803328.000
Litecoin,"2025-08-19 18:08:00",8682791936.000
