,symbol,name,date,price,total_volume
0,BTC,Bitcoin,2013-04-29,144.54,0.0
1,LTC,Litecoin,2013-04-29,4.3839,0.0
2,LTC,Litecoin,2013-04-30,4.29649,0.0
3,BTC,Bitcoin,2013-04-30,139.0,0.0
4,LTC,Litecoin,2013-05-01,3.80101,0.0
5,BTC,Bitcoin,2013-05-01,116.99,0.0
6,LTC,Litecoin,2013-05-02,3.37198,0.0
7,BTC,Bitcoin,2013-05-02,105.21,0.0
8,LTC,Litecoin,2013-05-03,3.04491,0.0
9,BTC,Bitcoin,2013-05-03,97.75,0.0
10,LTC,Litecoin,2013-05-04,3.47962,0.0
11,BTC,Bitcoin,2013-05-04,112.5,0.0
12,LTC,Litecoin,2013-05-05,3.59089,0.0
13,BTC,Bitcoin,2013-05-05,115.91,0.0
14,LTC,Litecoin,2013-05-06,3.37125,0.0
15,BTC,Bitcoin,2013-05-06,112.3,0.0
16,BTC,Bitcoin,2013-05-07,111.5,0.0
17,LTC,Litecoin,2013-05-07,3.33274,0.0
18,BTC,Bitcoin,2013-05-08,113.566,0.0
19,LTC,Litecoin,2013-05-08,3.40924,0.0
20,BTC,Bitcoin,2013-05-09,112.67,0.0
21,LTC,Litecoin,2013-05-09,3.41615,0.0
22,LTC,Litecoin,2013-05-10,3.44334,0.0
23,BTC,Bitcoin,2013-05-10,117.2,0.0
24,LTC,Litecoin,2013-05-11,3.34896,0.0
25,BTC,Bitcoin,2013-05-11,115.243,0.0
26,LTC,Litecoin,2013-05-12,3.26945,0.0
27,BTC,Bitcoin,2013-05-12,115.0,0.0
28,LTC,Litecoin,2013-05-13,3.27984,0.0
29,BTC,Bitcoin,2013-05-13,117.98,0.0
30,LTC,Litecoin,2013-05-14,2.8243,0.0
31,BTC,Bitcoin,2013-05-14,111.5,0.0
32,LTC,Litecoin,2013-05-15,2.93545,0.0
33,BTC,Bitcoin,2013-05-15,114.22,0.0
34,LTC,Litecoin,2013-05-16,2.91912,0.0
35,BTC,Bitcoin,2013-05-16,118.76,0.0
36,LTC,Litecoin,2013-05-17,3.18609,0.0
37,BTC,Bitcoin,2013-05-17,123.015,0.0
38,BTC,Bitcoin,2013-05-18,123.498,0.0
39,LTC,Litecoin,2013-05-18,3.29493,0.0
40,LTC,Litecoin,2013-05-19,3.30349,0.0
41,BTC,Bitcoin,2013-05-19,121.99,0.0
42,BTC,Bitcoin,2013-05-20,122.0,0.0
43,LTC,Litecoin,2013-05-20,3.18176,0.0
44,BTC,Bitcoin,2013-05-21,122.88,0.0
